IN1	1	-1	-1	4	00426	SI	R		0				Set ID - IN1	Sequence ID	
IN1	2	0	-1	250	00368	CE	R		0	0072			Insurance Plan ID	Coded element	
IN1	2	1	-1	0		ST			0					String	identifier
IN1	2	2	-1	0		ST			0					String	text
IN1	2	3	-1	0		IS			0	0072				Coded value for user-defined tables	name of coding system
IN1	2	4	-1	0		ST			0					String	alternate identifier
IN1	2	5	-1	0		ST			0					String	alternate text
IN1	2	6	-1	0		IS			0	0072				Coded value for user-defined tables	name of alternate coding system
IN1	3	0	-1	250	00428	CX	R	Y	0				Insurance Company ID	Extended composite ID with check digit	
IN1	3	1	-1	0		ST			0					String	ID
IN1	3	2	-1	0		ST			0					String	check digit
IN1	3	3	-1	0		ID			0	0061				Coded values for HL7 tables	code identifying the check digit scheme employed
IN1	3	4	0	0		ZHD1			0					Coded value for user-defined tables	assigning authority
IN1	3	4	1	0		IS			0	0363				Coded value for user-defined tables	namespace ID
IN1	3	4	2	0		ST			0					String	universal ID
IN1	3	4	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN1	3	5	-1	0		ID			0	0203				Coded values for HL7 tables	identifier type code
IN1	3	6	0	0		HD			0					Coded value for user-defined tables	assigning facility
IN1	3	6	1	0		IS			0	0300				Coded value for user-defined tables	namespace ID
IN1	3	6	2	0		ST			0					String	universal ID
IN1	3	6	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN1	3	7	-1	0		DT			0					Date	effective date
IN1	3	8	-1	0		DT			0					Date	expiration date
IN1	4	0	-1	250	00429	XON	O	Y	0				Insurance Company Name	Extended composite name and ID number for organizations	
IN1	4	1	-1	0		ST			0					String	organization name
IN1	4	2	-1	0		IS			0	0204				Coded value for user-defined tables	organization name type code
IN1	4	3	-1	0		NM			0					Numeric	ID number
IN1	4	4	-1	0		NM			0					Numeric	check digit
IN1	4	5	-1	0		ID			0	0061				Coded values for HL7 tables	code identifying the check digit scheme employed
IN1	4	6	0	0		ZHD1			0					Coded value for user-defined tables	assigning authority
IN1	4	6	1	0		IS			0	0363				Coded value for user-defined tables	namespace ID
IN1	4	6	2	0		ST			0					String	universal ID
IN1	4	6	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN1	4	7	-1	0		IS			0	0203				Coded value for user-defined tables	identifier type code
IN1	4	8	0	0		HD			0					Coded value for user-defined tables	assigning facility ID
IN1	4	8	1	0		IS			0	0300				Coded value for user-defined tables	namespace ID
IN1	4	8	2	0		ST			0					String	universal ID
IN1	4	8	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN1	4	9	-1	0		ID			0	0465				Coded values for HL7 tables	name representation code
IN1	5	0	-1	250	00430	XAD	O	Y	0				Insurance Company Address	Extended address	
IN1	5	1	0	0		SAD			0					String	street address
IN1	5	1	1	0		ST			0					String	street or mailing address
IN1	5	1	2	0		ST			0					String	street name
IN1	5	1	3	0		ST			0					String	dwelling number
IN1	5	2	-1	0		ST			0					String	other designation
IN1	5	3	-1	0		ST			0					String	city
IN1	5	4	-1	0		ST			0					String	state or province
IN1	5	5	-1	0		ST			0					String	zip or postal code
IN1	5	6	-1	0		ID			0	0399				Coded values for HL7 tables	country
IN1	5	7	-1	0		ID			0	0190				Coded values for HL7 tables	address type
IN1	5	8	-1	0		ST			0					String	other geographic designation
IN1	5	9	-1	0		IS			0	0289				Coded value for user-defined tables	county/parish code
IN1	5	10	-1	0		IS			0	0288				Coded value for user-defined tables	census tract
IN1	5	11	-1	0		ID			0	0465				Coded values for HL7 tables	address representation code
IN1	5	12	0	0		DR			0					Time stamp	address validity range
IN1	5	12	1	0		TS			0					Time stamp	range start date/time
IN1	5	12	2	0		TS			0					Time stamp	range end date/time
IN1	6	0	-1	250	00431	XPN	O	Y	0				Insurance Co Contact Person	Extended person name	
IN1	6	1	0	0		FN			0					String	family name
IN1	6	1	1	0		ST			0					String	surname
IN1	6	1	2	0		ST			0					String	own surname prefix
IN1	6	1	3	0		ST			0					String	own surname
IN1	6	1	4	0		ST			0					String	surname prefix from partner/spouse
IN1	6	1	5	0		ST			0					String	surname from partner/spouse
IN1	6	2	-1	0		ST			0					String	given name
