ROL	1	0	-1	60	01206	EI	C		0				Role Instance ID	Entity identifier	
ROL	1	1	-1	0		ST			0					String	entity identifier
ROL	1	2	-1	0		IS			0	0363				Coded value for user-defined tables	namespace ID
ROL	1	3	-1	0		ST			0					String	universal ID
ROL	1	4	-1	0		ID			0	0301				Coded values for HL7 tables	universal ID type
ROL	2	-1	-1	2	00816	ID	R		0	0287			Action Code	Coded values for HL7 tables	
ROL	3	0	-1	250	01197	CE	R		0	0443			Role-ROL	Coded element	
ROL	3	1	-1	0		ST			0					String	identifier
ROL	3	2	-1	0		ST			0					String	text
ROL	3	3	-1	0		IS			0	0443				Coded value for user-defined tables	name of coding system
ROL	3	4	-1	0		ST			0					String	alternate identifier
ROL	3	5	-1	0		ST			0					String	alternate text
ROL	3	6	-1	0		IS			0	0443				Coded value for user-defined tables	name of alternate coding system
ROL	4	0	-1	250	01198	XCN	R	Y	0				Role Person	Extended composite ID number and name	
ROL	4	1	-1	0		ST			0					String	ID number
ROL	4	2	0	0		FN			0					String	family name
ROL	4	2	1	0		ST			0					String	surname
ROL	4	2	2	0		ST			0					String	own surname prefix
ROL	4	2	3	0		ST			0					String	own surname
ROL	4	2	4	0		ST			0					String	surname prefix from partner/spouse
ROL	4	2	5	0		ST			0					String	surname from partner/spouse
ROL	4	3	-1	0		ST			0					String	given name
ROL	4	4	-1	0		ST			0					String	second and further given names or initial thereof
ROL	4	5	-1	0		ST			0					String	suffix (e.g., JR or III)
ROL	4	6	-1	0		ST			0					String	prefix (e.g., DR)
ROL	4	7	-1	0		IS			0	0360				Coded value for user-defined tables	degree (e.g., MD)
ROL	4	8	-1	0		IS			0	0297				Coded value for user-defined tables	source table
ROL	4	9	0	0		ZHD1			0					Coded value for user-defined tables	assigning authority
ROL	4	9	1	0		IS			0	0363				Coded value for user-defined tables	namespace ID
ROL	4	9	2	0		ST			0					String	universal ID
ROL	4	9	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
ROL	4	10	-1	0		ID			0	0200				Coded values for HL7 tables	name type code
ROL	4	11	-1	0		ST			0					String	identifier check digit
ROL	4	12	-1	0		ID			0	0061				Coded values for HL7 tables	code identifying the check digit scheme employed
ROL	4	13	-1	0		IS			0	0203				Coded value for user-defined tables	identifier type code
ROL	4	14	0	0		HD			0					Coded value for user-defined tables	assigning facility
ROL	4	14	1	0		IS			0	0300				Coded value for user-defined tables	namespace ID
ROL	4	14	2	0		ST			0					String	universal ID
ROL	4	14	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
