IN3	1	-1	-1	4	00502	SI	R		0				Set ID - IN3	Sequence ID	
IN3	2	0	-1	250	00503	CX	O		0				Certification Number	Extended composite ID with check digit	
IN3	2	1	-1	0		ST			0					String	ID
IN3	2	2	-1	0		ST			0					String	check digit
IN3	2	3	-1	0		ID			0	0061				Coded values for HL7 tables	code identifying the check digit scheme employed
IN3	2	4	0	0		ZHD1			0					Coded value for user-defined tables	assigning authority
IN3	2	4	1	0		IS			0	0363				Coded value for user-defined tables	namespace ID
IN3	2	4	2	0		ST			0					String	universal ID
IN3	2	4	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN3	2	5	-1	0		ID			0	0203				Coded values for HL7 tables	identifier type code
IN3	2	6	0	0		HD			0					Coded value for user-defined tables	assigning facility
IN3	2	6	1	0		IS			0	0300				Coded value for user-defined tables	namespace ID
IN3	2	6	2	0		ST			0					String	universal ID
IN3	2	6	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN3	2	7	-1	0		DT			0					Date	effective date
IN3	2	8	-1	0		DT			0					Date	expiration date
IN3	3	0	-1	250	00504	XCN	O	Y	0				Certified By	Extended composite ID number and name	
IN3	3	1	-1	0		ST			0					String	ID number
IN3	3	2	0	0		FN			0					String	family name
IN3	3	2	1	0		ST			0					String	surname
IN3	3	2	2	0		ST			0					String	own surname prefix
IN3	3	2	3	0		ST			0					String	own surname
IN3	3	2	4	0		ST			0					String	surname prefix from partner/spouse
IN3	3	2	5	0		ST			0					String	surname from partner/spouse
IN3	3	3	-1	0		ST			0					String	given name
IN3	3	4	-1	0		ST			0					String	second and further given names or initial thereof
IN3	3	5	-1	0		ST			0					String	suffix (e.g., JR or III)
IN3	3	6	-1	0		ST			0					String	prefix (e.g., DR)
IN3	3	7	-1	0		IS			0	0360				Coded value for user-defined tables	degree (e.g., MD)
IN3	3	8	-1	0		IS			0	0297				Coded value for user-defined tables	source table
IN3	3	9	0	0		ZHD1			0					Coded value for user-defined tables	assigning authority
IN3	3	9	1	0		IS			0	0363				Coded value for user-defined tables	namespace ID
IN3	3	9	2	0		ST			0					String	universal ID
IN3	3	9	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN3	3	10	-1	0		ID			0	0200				Coded values for HL7 tables	name type code
IN3	3	11	-1	0		ST			0					String	identifier check digit
IN3	3	12	-1	0		ID			0	0061				Coded values for HL7 tables	code identifying the check digit scheme employed
IN3	3	13	-1	0		IS			0	0203				Coded value for user-defined tables	identifier type code
IN3	3	14	0	0		HD			0					Coded value for user-defined tables	assigning facility
IN3	3	14	1	0		IS			0	0300				Coded value for user-defined tables	namespace ID
IN3	3	14	2	0		ST			0					String	universal ID
IN3	3	14	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN3	3	15	-1	0		ID			0	0465				Coded values for HL7 tables	name representation code
IN3	4	-1	-1	1	00505	ID	O		0	0136			Certification Required	Coded values for HL7 tables	
IN3	5	0	-1	10	00506	ZC08	O		0	0148			Penalty	User Define : composit	
IN3	5	1	-1	0		IS			0	0148				Coded value for user-defined tables	penalty type
IN3	5	2	-1	0		NM			0					Numeric	penalty amount
IN3	6	-1	-1	26	00507	TS	O		0				Certification Date/Time	Time stamp	
IN3	7	-1	-1	26	00508	TS	O		0				Certification Modify Date/Time	Time stamp	
IN3	8	0	-1	250	00509	XCN	O	Y	0				Operator	Extended composite ID number and name	
