PPN	1	ST				ID number	N	^
PPN	2	FN				family name	N	&
PPN	3	ST				given name	N	^
PPN	4	ST				second and further given names or initial thereof	N	^
PPN	5	ST				suffix (e.g., JR or III)	N	^
PPN	6	ST				prefix (e.g., DR)	N	^
PPN	7	IS	0360			degree (e.g., MD)	N	^
PPN	8	IS	0297			source table	N	^
PPN	9	ZHD1				assigning authority	N	^
PPN	10	ID	0200			name type code	N	^
PPN	11	ST				identifier check digit	N	^
PPN	12	ID	0061			code identifying the check digit scheme employed	N	^
PPN	13	IS	0203			identifier type code	N	^
PPN	14	HD				assigning facility	N	^
PPN	15	TS				date/time action performed	N	^
PPN	16	ID	0465			name representation code	N	^
PPN	17	ZCE6				name context	N	^
PPN	18	DR				name validity range	N	^
PPN	19	ID	0444			name assembly order	N	E
