PPN	1	ST		15		ID number	N	^
PPN	2	FN		194		family name	N	&
PPN	3	ST		30		given name	N	^
PPN	4	ST		30		second and further given names or initial thereof	N	^
PPN	5	ST		20		suffix (e.g., JR or III)	N	^
PPN	6	ST		20		prefix (e.g., DR)	N	^
PPN	7	IS	0360	5	B	degree (e.g., MD)	N	^
PPN	8	IS	0297	4	C	source table	N	^
PPN	9	ZHD1	0363	227		assigning authority	N	^
PPN	10	ID	0200	1		name type code	N	^
PPN	11	ST		1		identifier check digit	N	^
PPN	12	ID	0061	3		code identifying the check digit scheme employed	N	^
PPN	13	ID	0203	5		identifier type code	N	^
PPN	14	HD		227		assigning facility	N	^
PPN	15	TS		26		date/time action performed	N	^
PPN	16	ID	0465	1		name representation code	N	^
PPN	17	ZCE6	0448	483		name context	N	^
PPN	18	DR		17	B	name validity range	N	^
PPN	19	ID	0444	1		name assembly order	N	^
PPN	20	TS		26		Effective Date	N	^
PPN	21	TS		26		Expiration Date	N	^
PPN	22	ST		199		Professional Suffix	N	^
PPN	23	CWE		705		Assigning Jurisdiction	N	^
PPN	24	CWE		705		Assigning Agency or Department	N	E
